created_at,date,time,username,name,place,tweet,language,mentions,urls,likes_count,retweet,hashtags,cashtags,retweets_count,link,thumbnail,near,retweet_id,reply_to,retweet_date,translate,retweet_date,translate
2020-01-27 00:59:53 Morocco Daylight Time,2020-01-27,00:59:53,cassandradollll,🦉,,Every body always telling me I’ll have pretty babies I feel like they be jinxing me tho😂😂😂 like think that to yo self cause nie if I have some ugly babies😣,en,[],[],0,False,[],[],0,https://twitter.com/cassandradollll/status/1221583569631502338,,,,[],,,,
2020-01-27 00:59:53 Morocco Daylight Time,2020-01-27,00:59:53,kth_ram,KthRam,,Live now with SHAR NG+ Runs. We’ll continue Kingdom Hearts afterwards. Feel free to drop by and say hi  https://t.co/MJIlsMvuW2,en,[],['https://twitch.tv/kthram'],0,False,[],[],0,https://twitter.com/Kth_Ram/status/1221583569350324226,,,,[],,,,
2020-01-27 00:59:53 Morocco Daylight Time,2020-01-27,00:59:53,janedopex,🏳,,"@eat_this_crissy Oh lord boo, that's gone hurt especially on the face but I know it'll be cute and worth it😘",en,[],[],1,False,[],[],0,https://twitter.com/janedopex/status/1221583567978889217,,,,"[{'screen_name': 'eat_this_crissy', 'name': 'Crissy Martínez', 'id': '1204407924426194948'}]",,,,
2020-01-27 00:59:53 Morocco Daylight Time,2020-01-27,00:59:53,gtoshkaz,ZerO_deLuca,,@TMZ Rest in peace and thank you for all the wonderful memories... You'll be missed...,en,[],[],0,False,[],[],0,https://twitter.com/GToshkaz/status/1221583567639236611,,,,"[{'screen_name': 'TMZ', 'name': 'TMZ', 'id': '16331010'}]",,,,
2020-01-27 00:59:52 Morocco Daylight Time,2020-01-27,00:59:52,ezrasenterlude,Victoria 💫 | #FireInBone,,"They haven't announced the winner for Album of the Year yet. I'm hoping they'll win that too, but Best Alternative Album is already a great achievement! So proud of my favourite band. 💕",en,[],[],0,False,[],[],0,https://twitter.com/ezrasenterlude/status/1221583566489911302,,,,[],,,,
2020-01-27 00:59:52 Morocco Daylight Time,2020-01-27,00:59:52,eilishsbieber,cyd 🥊,,if ari gets snubbed of all of her awards i’ll riot,en,[],[],1,False,[],[],0,https://twitter.com/eilishsbieber/status/1221583565026222088,,,,[],,,,
2020-01-27 00:59:52 Morocco Daylight Time,2020-01-27,00:59:52,reader_jean,Fed Up,,@neal_katyal He’ll claim Executive Privilege 🙄,en,[],[],1,False,[],[],0,https://twitter.com/reader_jean/status/1221583564560588800,,,,"[{'screen_name': 'neal_katyal', 'name': 'Neal Katyal', 'id': '780206406024691712'}]",,,,
2020-01-27 00:59:52 Morocco Daylight Time,2020-01-27,00:59:52,thealexwolfe,Alex Wolfe,,"Sorry for not tweeting too much during the first half, was trying more to feel the building than anything in regards to everything Kobe and writing that little piece. I'll be paying more attention to the actual game in the second half.",en,[],[],5,False,[],[],0,https://twitter.com/thealexwolfe/status/1221583563637784577,,,,[],,,,
2020-01-27 00:59:52 Morocco Daylight Time,2020-01-27,00:59:52,rodbarbee,Rod Barbee,,"What say you @gop @senatemajldr @SenatorRomney @SenSusanCollins . All will be revealed, and probably before the election. And if you don’t remove Trump before the election, you will lose your party. I’ll be encouraging my rep and House Dems to keep investigations going.",en,"[{'screen_name': 'gop', 'name': 'gop', 'id': '11134252'}, {'screen_name': 'senatemajldr', 'name': 'leader mcconnell', 'id': '1249982359'}, {'screen_name': 'senatorromney', 'name': 'senator mitt romney', 'id': '1078693601356509184'}, {'screen_name': 'sensusancollins', 'name': 'susan collins for senator', 'id': '13529632'}]",[],1,False,[],[],0,https://twitter.com/RodBarbee/status/1221583563084054530,,,,[],,,,
2020-01-27 00:59:51 Morocco Daylight Time,2020-01-27,00:59:51,chloe83us1,Eric Blair,,"@julie_kelly2 No. He's the first. I think conservatives underestimate the extend that a trial is a dynamic process. Every day, they'll be new leaks and ""bombshells"" in the press. The pressure on R's to continue the inquiry will be enormous. Trump may be removed in the end.",en,[],[],0,False,[],[],0,https://twitter.com/chloe83us1/status/1221583562748649474,,,,"[{'screen_name': 'julie_kelly2', 'name': 'Julie Kelly 🇺🇸', 'id': '2852597261'}]",,,,
2020-01-27 00:59:51 Morocco Daylight Time,2020-01-27,00:59:51,popculture2020,Wesley,,@SydneeC30 It’s K Pop! A Korean pop band. We’ll talk about them later in the semester when we discuss music and globalization #popcultureconvo,en,[],[],0,False,['popcultureconvo'],[],0,https://twitter.com/PopCulture2020/status/1221583561305808896,,,,"[{'screen_name': 'SydneeC30', 'name': 'Sydnee Carter', 'id': '1221518702824185861'}]",,,,
